Index,Histogram,band_1_mean,band_1_std,band_2_mean,band_2_std,band_3_mean,band_3_std
 789.000,   3.000,  31.333,  11.441,  31.333,  11.441,  23.333,  11.441
 790.000,21749.000, 100.310,  14.349,  92.612,  13.931,  86.187,  12.283
 791.000,13748.000, 106.941,  10.926,  90.841,   9.744,  92.572,   9.445
 792.000,   2.000,   8.500,   4.500,  25.500,   4.500,   7.500,   4.500
 793.000,17159.000,  84.315,  11.289,  80.766,   9.090,  76.922,   9.896
 794.000,  21.000,  36.000,  14.887,  24.762,  14.874,  33.714,  14.846
 795.000,   3.000,  30.333,  13.573,  19.333,  13.573,  25.333,  13.573
 796.000,   6.000,  35.833,   4.947,  24.167,   5.145,  33.167,   4.220
 797.000,13558.000,  91.298,  12.150,  81.154,  12.002,  83.081,  11.417
 798.000,23031.000, 125.744,  12.049, 107.495,  11.167, 103.984,  10.501
 799.000,   4.000,  23.000,   9.670,  31.750,   9.833,  16.250,   9.705
 800.000,19097.000, 102.036,  10.727,  97.451,   9.567,  89.471,   9.340
 801.000,16660.000,  78.592,  12.130,  78.545,  12.300,  70.133,  11.461
 802.000,43104.000,  89.038,  10.789,  87.869,  10.208,  79.866,   9.929
 803.000,22038.000,  80.669,   9.493,  82.376,   9.602,  75.037,   9.247
 804.000,20774.000,  72.595,  12.165,  72.258,  12.983,  67.833,  11.802
 805.000,   4.000,  17.250,   6.220,  22.250,   6.220,  15.250,   6.220
 806.000, 280.000,  83.371,  12.951,  64.979,  12.929,  67.718,  12.366
 807.000,   4.000,  31.500,   5.408,  30.500,   5.408,  25.500,   5.408
 808.000,   9.000,  28.111,  15.380,  29.000,  16.014,  26.556,  15.692
 809.000,   2.000,  15.000,   3.000,  11.000,   3.000,  10.000,   3.000
 810.000,   8.000,  28.375,  13.711,  17.250,  13.654,  24.125,  13.157
 811.000,  14.000,  36.571,  16.017,  37.571,  16.017,  31.571,  16.017
 812.000,28816.000,  73.515,  13.979,  75.485,  14.617,  68.871,  13.736
 813.000,   9.000,  48.444,  15.543,  42.778,  15.135,  39.111,  15.300
 814.000,   4.000,  21.750,   6.978,  22.750,   6.978,  17.750,   6.978
 815.000,16292.000,  95.117,  10.220,  92.339,   9.497,  84.301,   9.298
 816.000,   2.000,  18.000,   2.000,  29.000,   2.000,  15.000,   2.000
 817.000,   6.000,  24.667,  10.796,  37.833,  10.511,  20.833,  10.511
 818.000,   2.000,  19.000,   6.000,  18.000,   6.000,  14.000,   6.000
 819.000,15518.000,  78.680,  11.393,  70.392,  12.080,  71.623,  10.769
 820.000,28115.000,  86.614,   9.817,  85.679,   9.328,  78.881,   9.024
 821.000,17418.000,  78.872,  10.283,  85.577,  11.345,  75.311,  10.055
 822.000,   2.000,  16.000,   7.000,  12.000,   7.000,  11.000,   7.000
 823.000,20811.000,  75.716,  11.646,  78.284,  11.728,  71.103,  11.297
 824.000,   5.000,  28.400,   9.891,  24.000,  10.040,  21.000,  10.040
 825.000,   6.000,  50.500,  10.595,  43.000,  10.247,  39.833,  10.351
 826.000,   3.000,  12.333,   6.848,  11.333,   6.848,   7.333,   6.848
 827.000,   4.000,  22.500,   8.559,  28.500,   8.559,  18.500,   8.559
 828.000,  24.000,  42.292,  14.208,  29.708,  14.732,  36.542,  14.062
 829.000,19204.000,  91.099,  11.348,  83.429,  11.422,  81.711,  10.341
 830.000,   7.000,  38.429,  11.437,  34.857,  11.344,  30.143,  11.382
 831.000,11868.000,  88.517,   8.212,  89.734,   8.220,  80.967,   7.779
 832.000,   3.000,  18.000,   8.981,  26.000,   8.981,  13.000,   8.981
 833.000,15785.000,  66.645,  11.608,  66.152,  11.981,  61.606,  11.483
 834.000,12705.000, 123.027,  15.108, 110.007,  12.998, 104.074,  12.933
 835.000,  18.000,  26.778,  12.510,  30.111,  12.476,  23.222,  12.479
 836.000,   8.000,  22.125,  11.374,  28.625,  11.269,  18.375,  11.313
 837.000,   7.000,  33.286,  11.297,  42.143,  12.088,  28.857,  11.813
 838.000,28259.000,  94.220,  12.081,  92.548,  10.997,  84.909,  10.679
 839.000,11664.000, 114.893,  10.371, 100.908,   8.903,  98.717,   8.637
 840.000,59583.000,  82.666,  12.648,  78.660,  13.005,  74.770,  11.452
 841.000,22947.000,  68.748,  11.407,  71.755,  11.838,  63.879,  11.262
 842.000,   7.000,  16.000,   7.131,  19.000,   7.131,   9.143,   6.875
 843.000,22889.000,  85.588,  12.172,  82.610,  10.804,  78.032,  11.190
 844.000,   5.000,  42.800,   7.808,  17.400,   8.476,  23.800,   8.134
 845.000,13200.000,  82.732,  12.595,  81.267,  11.956,  74.424,  11.456
 846.000,22196.000, 118.090,  11.030, 104.459,  10.437, 103.179,   9.633
 847.000,37914.000,  92.598,  11.229,  90.595,  11.420,  84.438,   9.848
 848.000,   6.000,  47.667,   6.920,  48.000,   6.683,  40.000,   6.683
 849.000, 866.000,  81.390,  11.744,  67.657,  11.673,  68.814,  10.996
 850.000,11629.000, 109.497,  13.704,  95.959,  13.489,  93.548,  10.746
 851.000,   2.000,  14.500,   1.500,  19.500,   1.500,  13.500,   1.500
 852.000,   5.000,  27.600,  16.728,  27.600,  16.728,  19.600,  16.728
 853.000,   4.000,  31.250,   6.796,  32.250,   6.796,  27.250,   6.796
 854.000,18811.000,  86.803,  13.333,  81.856,  12.181,  80.286,  11.751
 855.000,28598.000, 100.930,  10.831,  96.998,   9.843,  89.894,   9.328
 856.000,  17.000,  26.765,  13.688,  28.824,  13.980,  21.000,  14.113
 857.000,10502.000,  97.420,  11.302,  89.347,  10.947,  87.704,  10.549
 858.000,   3.000,  21.667,   9.463,  29.667,   9.463,  16.667,   9.463
 859.000,23129.000,  81.779,  12.699,  81.382,  12.412,  73.334,  11.465
 860.000,13649.000, 107.254,  11.430,  95.164,  10.094,  94.684,   9.834
 861.000,42659.000,  89.356,  10.064,  86.234,   9.386,  81.199,   9.186
 862.000,   4.000,  26.750,  11.344,  28.750,  11.344,  23.750,  11.344
 863.000,26754.000,  72.596,  12.822,  76.039,  13.293,  69.415,  12.601
 864.000,18075.000,  65.877,  12.018,  69.049,  12.994,  61.696,  11.775
 865.000,24798.000, 108.188,  12.283, 102.102,  11.072,  93.334,  10.869
 866.000,   3.000,  23.667,   7.717,  18.333,   8.380,  19.333,   7.409
 867.000,17840.000,  90.303,  11.882,  87.752,  11.390,  80.747,  10.484
 868.000,31560.000,  99.087,  13.286,  94.746,  11.696,  87.591,  11.551
 869.000,   9.000,  28.667,  19.102,  22.667,  19.102,  24.000,  19.044
 870.000,9990.000,  75.224,  10.352,  76.546,   9.468,  71.240,   8.943
 871.000,13537.000,  87.321,  10.773,  86.647,   9.833,  79.324,   9.376
 872.000,   5.000,  35.200,  12.464,  36.400,  12.306,  31.400,  12.306
 873.000,27077.000,  71.336,  12.798,  74.372,  13.291,  66.956,  12.514
 874.000,14870.000,  83.605,  11.137,  81.643,  10.984,  76.154,  10.549
 875.000,10943.000,  75.685,   8.213,  79.032,   8.609,  72.265,   8.077
 876.000,15254.000,  95.927,   9.728,  88.080,   7.881,  85.567,   8.196
 877.000,18277.000,  98.922,  10.567,  93.439,   9.618,  88.103,   9.274
 878.000,   2.000,  13.500,   3.500,  10.500,   4.500,  11.500,   4.500
 879.000,   5.000,  38.600,  15.279,  35.600,  15.279,  28.600,  15.279
 880.000,   4.000,  14.500,   3.354,  24.500,   3.354,  13.500,   3.354
 881.000,29569.000,  81.096,  11.522,  79.653,  11.788,  74.864,  10.942
 882.000,   4.000,  34.000,   8.660,  34.500,   8.617,  26.500,   8.617
 883.000,14315.000, 103.351,  13.330,  98.322,  11.798,  89.285,  11.871
 884.000,15438.000, 107.804,  12.191, 103.874,  10.936,  94.187,  10.929
 885.000,21230.000,  99.903,  12.706,  95.378,  11.178,  88.711,  11.013
 886.000,10578.000,  90.896,   8.718,  91.485,   8.022,  84.206,   7.950
 887.000,   2.000,  15.000,   3.000,  17.000,   3.000,  12.000,   3.000
 888.000,   2.000,  10.500,   2.500,  21.000,   3.000,   8.500,   1.500
 889.000,14126.000,  84.317,  12.847,  79.375,  12.028,  75.954,  11.276
 890.000,   5.000,  44.400,  13.200,  47.000,  12.458,  40.200,  12.828
 891.000,26998.000,  86.138,  12.268,  81.551,  11.474,  78.373,  11.119
 892.000,   9.000,  26.556,  14.245,  27.556,  14.245,  22.222,  14.597
 893.000,   2.000,  34.500,   0.500,  22.500,   1.500,  29.000,   1.000
